学部,学科,研究室名,所属教員,号館・部屋,公式HP,備考
Ⅰ類（情報系）,メディア情報学プログラム,坂本 真樹 研究室,坂本 真樹,西6号館511,http://www.sakamoto-lab.hc.uec.ac.jp/,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-12 ｜ ラボガイド更新: 2025-07-03 ｜ 出張講義: https://docs.google.com/spreadsheets/d/1uJxsIAV9MO5RpW4ZK4avdf7bVvsVnyvn/edit?gid=905872286#gid=905872286&range=A7 ｜ 夢ナビ: https://douga.yumenavi.info/Lecture/PublishDetail/4107700000?back= ｜ VideoUEC: https://www.youtube.com/channel/UCq5f7id9SbIL__LgL57HbdQ ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 研究室HP https://www.sakamoto-lab.hc.uec.ac.jp/about/
Ⅰ類（情報系）,メディア情報学プログラム,松倉 悠 研究室,松倉 悠,西6号館405,https://www.oil.lab.uec.ac.jp,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-12 ｜ ラボガイド更新: 2026-05-22 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 研究室HP https://www.oil.lab.uec.ac.jp
Ⅰ類（情報系）,メディア情報学プログラム,佐藤 光哉 研究室,佐藤 光哉,西9号館801,https://www.ksatolab.aix.uec.ac.jp/,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-13 ｜ ラボガイド更新: 2025-07-03 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/32/32_22018102.html
Ⅰ類（情報系）,メディア情報学プログラム,佐藤 寛之 研究室,佐藤 寛之,西6号館205,https://nic.lab.uec.ac.jp/,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-14 ｜ ラボガイド更新: 2025-07-14 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21017209.html
Ⅰ類（情報系）,メディア情報学プログラム,庄野 逸 研究室,庄野 逸,西3号館308,http://daemon.inf.uec.ac.jp,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-15(Ⅰ類-88) ｜ ラボガイド更新: 2025-07-03 ｜ 出張講義: Ⅰ類-4／https://docs.google.com/spreadsheets/d/1uJxsIAV9MO5RpW4ZK4avdf7bVvsVnyvn/edit?gid=905872286#gid=905872286&range=A8 ｜ 夢ナビ: https://douga.yumenavi.info/Lecture/PublishDetail/2017276540?back= ｜ VideoUEC: https://www.youtube.com/watch?v=gp03Rn2iAiM／https://www.youtube.com/watch?v=5GOAP60PDiM／https://www.youtube.com/watch?v=_AWRwMB2pJA ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21124102.html
Ⅰ類（情報系）,メディア情報学プログラム,孫 光鎬 研究室,孫 光鎬,西2号館205,https://sun-melab.com/,専攻: 情報学専攻｜機械知能システム学専攻 ｜ ラボガイド番号: Ⅰ類-16(Ⅱ類-64) ｜ ラボガイド更新: 2025-07-03 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 研究室HP https://sun-melab.com/Contact
Ⅰ類（情報系）,メディア情報学プログラム,高木 一幸 研究室,高木 一幸,東3号館821,http://www.takagi.inf.uec.ac.jp/pdf/TKLAB.pdf,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-17 ｜ ラボガイド更新: 2026-06-20 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21025126.html
Ⅰ類（情報系）,メディア情報学プログラム,髙橋 裕樹 研究室,髙橋 裕樹,西6号館509,https://www.uec.ac.jp/research/information/opal-ring/0005150.html,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-18 ｜ ラボガイド更新: 2025-07-03 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/33/33_25023217.html
Ⅰ類（情報系）,メディア情報学プログラム,田原 康之 研究室,田原 康之,西10号館730,http://www.tahara.lab.uec.ac.jp/,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-19 ｜ ラボガイド更新: 2025-08-08 ｜ 追加URL: https://researchmap.jp/YasuyukiTahara／https://www.uec.ac.jp/research/members/opal-ring/6000010503.html ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21124213.html
Ⅰ類（情報系）,メディア情報学プログラム,若月 光夫 研究室,若月 光夫,東3号館822,http://www.mw.inf.uec.ac.jp,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-20 ｜ ラボガイド更新: 2026-07-16 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21124102.html
Ⅰ類（情報系）,メディア情報学プログラム,橋本 直己 研究室,橋本 直己,西9号館811,http://www.hashimoto.lab.uec.ac.jp/,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-21 ｜ ラボガイド更新: 2025-07-15 ｜ 夢ナビ: https://talk.yumenavi.info/archives/1855?site=d&close=true ｜ VideoUEC: https://www.youtube.com/watch?v=A0qz6lf0_10 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21122111.html
Ⅰ類（情報系）,メディア情報学プログラム,橋山 智訓 研究室,橋山 智訓,西10号館346,http://www2.media.is.uec.ac.jp/,専攻: 情報学専攻｜共同サステイナビリティ研究専攻 ｜ ラボガイド番号: Ⅰ類-22(SUS-2) ｜ ラボガイド更新: 2025-07-03 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21124213.html
Ⅰ類（情報系）,メディア情報学プログラム,羽田 陽一 研究室,羽田 陽一,東3号館825,http://www.hanedalab.inf.uec.ac.jp/,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-23 ｜ ラボガイド更新: 2025-07-03 ｜ 出張講義: Ⅰ類-6／https://docs.google.com/spreadsheets/d/1uJxsIAV9MO5RpW4ZK4avdf7bVvsVnyvn/edit?gid=905872286#gid=905872286&range=A10 ｜ 夢ナビ: https://douga.yumenavi.info/Lecture/PublishDetail/2015254432?back= ｜ VideoUEC: https://www.youtube.com/watch?v=BtPH6Og5tSg／https://www.youtube.com/shorts/_8I4HPc0X8s ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 研究室HP https://www.hanedalab.inf.uec.ac.jp/
Ⅰ類（情報系）,メディア情報学プログラム,久野 雅樹 研究室,久野 雅樹,東1号館509,,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-24 ｜ ラボガイド更新: 2025-07-03 ｜ ラボガイドに研究室URLなし ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21016204.html
Ⅰ類（情報系）,メディア情報学プログラム,広田 光一・野嶋 琢也 研究室,広田 光一・野嶋 琢也,広田 光一: 東2号館311／野嶋 琢也: 東2号館315,http://www.hirota-lab.sumomo.ne.jp/,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-25 ｜ ラボガイド更新: 2025-07-03 ｜ 出張講義: Ⅰ類-5／https://docs.google.com/spreadsheets/d/1uJxsIAV9MO5RpW4ZK4avdf7bVvsVnyvn/edit?gid=905872286#gid=905872286&range=A9 ｜ 夢ナビ: https://douga.yumenavi.info/Lecture/PublishDetail/2020216670?back= ｜ VideoUEC: https://www.youtube.com/watch?v=9P9z5m4jMNk ｜ 追加URL: http://www.nojilab.org/ ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 研究室HP http://www.hirota-lab.sumomo.ne.jp/index.php?cat=access
Ⅰ類（情報系）,メディア情報学プログラム,宮脇 陽一 研究室,宮脇 陽一,東4号館620,http://www.cns.mi.uec.ac.jp/,専攻: 情報学専攻｜機械知能システム学専攻 ｜ ラボガイド番号: Ⅰ類-26(Ⅱ類-68) ｜ ラボガイド更新: 2025-07-03 ｜ 出張講義: Ⅱ類-14 ｜ 夢ナビ: https://yumenavi.info/vue/lecture.html?University=V&SearchMod=4&SerKbn=3&ProId=WNF026&Page=1&GNKCD=g006402&KeyWord=%E9%9B%BB%E6%B0%97%E9%80%9A%E4%BF%A1%E5%A4%A7%E5%AD%A6&back=&CLGAKOCD=033840&mxorder=&gakubunm=&gakkanm=&From=portal ｜ VideoUEC: https://www.youtube.com/shorts/kFRez7XD9kU ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 研究室HP https://www.cns.mi.uec.ac.jp/Contacts_j.html
Ⅰ類（情報系）,メディア情報学プログラム,柳井 啓司 研究室,柳井 啓司,西9号館701,https://mm.cs.uec.ac.jp/,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-27 ｜ ラボガイド更新: 2025-10-22 ｜ 出張講義: Ⅰ類-7／https://docs.google.com/spreadsheets/d/1uJxsIAV9MO5RpW4ZK4avdf7bVvsVnyvn/edit?gid=905872286#gid=905872286&range=A11 ｜ 夢ナビ: https://yumenavi.info/vue/lecture.html?University=V&SearchMod=4&SerKbn=3&ProId=WNF026&Page=1&GNKCD=g003890&KeyWord=%E9%9B%BB%E6%B0%97%E9%80%9A%E4%BF%A1%E5%A4%A7%E5%AD%A6&back=&CLGAKOCD=033840&mxorder=&gakubunm=&gakkanm=&From=portal ｜ VideoUEC: https://www.youtube.com/watch?v=IXPlgjGz2Mg ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21124201.html
Ⅰ類（情報系）,経営・社会情報学プログラム,天野 友之 研究室,天野 友之,東1号館813,,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-28 ｜ ラボガイド更新: 2025-07-03 ｜ ラボガイドに研究室URLなし ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21122103.html
Ⅰ類（情報系）,経営・社会情報学プログラム,板倉 直明 研究室,板倉 直明,西5号館105,http://www.italab.inf.uec.ac.jp/,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-29 ｜ ラボガイド更新: 2025-07-03 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/33/33_25132214.html
Ⅰ類（情報系）,経営・社会情報学プログラム,稲葉 通将 研究室,稲葉 通将,東2号館411,https://www.inaba.aix.uec.ac.jp/,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-30 ｜ ラボガイド更新: 2025-07-14 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21124213.html
Ⅰ類（情報系）,経営・社会情報学プログラム,岩﨑 敦 研究室,岩﨑 敦,東2号館515,https://a2ciwasaki.github.io/,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-31 ｜ ラボガイド更新: 2026-08-09 ｜ 出張講義: https://docs.google.com/spreadsheets/d/1uJxsIAV9MO5RpW4ZK4avdf7bVvsVnyvn/edit?gid=905872286#gid=905872286&range=A12 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21122215.html
Ⅰ類（情報系）,経営・社会情報学プログラム,内海 彰 研究室,内海 彰,西5号館703,http://www.utm.inf.uec.ac.jp/~utsumi/,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-32 ｜ ラボガイド更新: 2025-07-03 ｜ VideoUEC: https://www.youtube.com/watch?v=AAAYJxXC4Qk／https://www.youtube.com/shorts/HHmRAitPjp8 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 研究室HP http://www.utm.inf.uec.ac.jp/~utsumi/
Ⅰ類（情報系）,経営・社会情報学プログラム,岡本 一志 研究室,岡本 一志,西5号館503,http://www.ds.lab.uec.ac.jp/,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-33 ｜ ラボガイド更新: 2025-07-03 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 研究室HP https://www.ds.lab.uec.ac.jp/
Ⅰ類（情報系）,経営・社会情報学プログラム,木下 雄貴 研究室,木下 雄貴,西5号館407,http://www.ykinoshita.lab.uec.ac.jp/index.html,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類 ｜ ラボガイド更新: 2026-04-14 ｜ 追加URL: https://researchmap.jp/yuki_kinoshita ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 研究室HP https://www.ykinoshita.lab.uec.ac.jp/index.html
Ⅰ類（情報系）,経営・社会情報学プログラム,金 路 研究室,金 路,西5号館601,http://rm.inf.uec.ac.jp/doku.php,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-35 ｜ ラボガイド更新: 2025-07-03 ｜ 出張講義: Ⅰ類-8／https://docs.google.com/spreadsheets/d/1uJxsIAV9MO5RpW4ZK4avdf7bVvsVnyvn/edit?gid=905872286#gid=905872286&range=A13 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 研究室HP https://rm.inf.uec.ac.jp/doku.php
Ⅰ類（情報系）,経営・社会情報学プログラム,高木 正則 研究室,高木 正則,西5号館705,https://takagi-lab.jp/,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-36 ｜ ラボガイド更新: 2026-04-14 ｜ 追加URL: https://sites.google.com/gl.cc.uec.ac.jp/ueclap2 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 研究室HP https://takagi-lab.jp/page/contact/
Ⅰ類（情報系）,経営・社会情報学プログラム,長濱 章仁 研究室,長濱 章仁,西5号館,https://sites.google.com/view/nagahama-lab/,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-37 ｜ ラボガイド更新: 2025-10-09 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 研究室HP https://sites.google.com/view/nagahama-lab/
Ⅰ類（情報系）,経営・社会情報学プログラム,水野 統太 研究室,水野 統太,西5号館401,http://www.italab.inf.uec.ac.jp/,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-38 ｜ ラボガイド更新: 2025-07-03 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21124106.html
Ⅰ類（情報系）,経営・社会情報学プログラム,水戸 和幸 研究室,水戸 和幸,西5号館405,http://www.human.inf.uec.ac.jp,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-39 ｜ ラボガイド更新: 2025-07-03 ｜ 出張講義: Ⅰ類-9／https://docs.google.com/spreadsheets/d/1uJxsIAV9MO5RpW4ZK4avdf7bVvsVnyvn/edit?gid=905872286#gid=905872286&range=A14 ｜ 夢ナビ: https://douga.yumenavi.info/Lecture/PublishDetail/2022001469?back= ｜ VideoUEC: https://www.youtube.com/watch?v=PqeeVjOq3s0 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 研究室HP https://www.human.inf.uec.ac.jp/contactus.html
Ⅰ類（情報系）,経営・社会情報学プログラム,宮本 友樹 研究室,宮本 友樹,西5号館707,https://sites.google.com/view/tomokimiyamoto,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-40 ｜ ラボガイド更新: 2025-07-03 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21019267.html
Ⅰ類（情報系）,経営・社会情報学プログラム,山田 哲男 研究室,山田 哲男,西5号館507,http://tyamada-lab.inf.uec.ac.jp,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-41 ｜ ラボガイド更新: 2025-07-03 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 研究室HP https://tyamada-lab.inf.uec.ac.jp/contact.html
Ⅰ類（情報系）,経営・社会情報学プログラム,山田 裕一 研究室,山田 裕一,東1号館507,http://www.yyyamada.e-one.uec.ac.jp/indexj.html,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-42 ｜ ラボガイド更新: 2025-07-03 ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 研究室HP https://www.yyyamada.e-one.uec.ac.jp/indexj.html
Ⅰ類（情報系）,経営・社会情報学プログラム,山本 佳世子 研究室,山本 佳世子,東2号館415,http://www.si.is.uec.ac.jp/yamamotohp/,専攻: 情報学専攻｜共同サステイナビリティ研究専攻 ｜ ラボガイド番号: Ⅰ類-43(SUS-3) ｜ ラボガイド更新: 2025-07-03 ｜ 夢ナビ: https://douga.yumenavi.info/Lecture/PublishDetail/2014236116?back= ｜ VideoUEC: https://www.youtube.com/@%E9%9B%BB%E6%B0%97%E9%80%9A%E4%BF%A1%E5%A4%A7%E5%AD%A6_%E5%B1%B1%E6%9C%AC%E4%BD%B3 ｜ 追加URL: https://www.uec.ac.jp/about/publicinfo/pdf/report2024.pdf／https://www.japantimes.co.jp/2024/05/02/special-supplements/making-global-efforts-realize-society-5-0/ ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 2026年度シラバス https://kyoumu.office.uec.ac.jp/syllabus/2026/31/31_21124202.html
Ⅰ類（情報系）,経営・社会情報学プログラム,横川 慎二 研究室,横川 慎二,西3号館202,http://www.yokogawa.iperc.uec.ac.jp/,専攻: 情報学専攻 ｜ ラボガイド番号: Ⅰ類-44 ｜ ラボガイド更新: 2025-07-03 ｜ 出張講義: Ⅰ類-10／https://docs.google.com/spreadsheets/d/1uJxsIAV9MO5RpW4ZK4avdf7bVvsVnyvn/edit?gid=905872286#gid=905872286&range=A15 ｜ VideoUEC: https://youtu.be/6XQw4o0L8qY?si=Ad-NOUGeN3K7rbKh ｜ 出典: https://www.uec.ac.jp/arc/laboguide.html （https://www.uec.ac.jp/arc/assets/labs.json を2026-09-10取得） ｜ 居室出典: 研究室HP https://www.yokogawa.iperc.uec.ac.jp/access.html
